pdb_id	delta_G_kJ_per_mol	total_sasa_A2	T_K	delta_S_est_kJ_per_molK	T_delta_S_kJ_per_mol	delta_H_kJ_per_mol
1xxf	-39.95	33209.2	298.15	0.05305096961084284	15.817146589472792	-24.13285341052721
1rv6	-39.16	20103.69	298.15	0.04793485544965445	14.291777152314474	-24.868222847685523
1xx9	-50.36	35315.49	298.15	0.053770734948671656	16.03174462494645	-34.328255375053544
1xu1	-48.69	21642.09	298.15	0.048608423898869026	14.4926015854478	-34.1973984145522
1xxd	-37.23	34330.49	298.15	0.05343689057874359	15.9322089260524	-21.297791073947597
1v7p	-48.65	21162.06	298.15	0.04840089563037625	14.430727032196678	-34.21927296780332
1ry7	-37.89	18510.92	298.15	0.04720972748186327	14.075580248717534	-23.814419751282465
1u0s	-37.89	11756.55	298.15	0.0437151303311343	13.03366610822769	-24.85633389177231
1xqh	-38.24	27205.66	298.15	0.050863618094664206	15.164987734924132	-23.07501226507587
1pd7	-37.23	11398.05	298.15	0.04350439928319657	12.970836646285056	-24.25916335371494
1xd3	-37.23	27947.23	298.15	0.051146055897022494	15.249196565697256	-21.980803434302743
1t6b	-53.64	37885.42	298.15	0.054620453285835334	16.285088147171802	-37.354911852828195
1nl0	-50.2	21694.45	298.15	0.04863092053549689	14.499308957658396	-35.7006910423416
1tzh	-49.91	47378.16	298.15	0.05753271799150966	17.153379869168603	-32.756620130831394
1us7	-32.79	21980.5	298.15	0.04875334636804855	14.535810219633674	-18.254189780366325
1tzi	-45.66	26400.74	298.15	0.05055266016845508	15.072275629224881	-30.587724370775113
1xr0	-28.54	11414.12	298.15	0.04351391579076916	12.973673993017824	-15.566326006982175
1sv0	-45.4	17686.81	298.15	0.04682227570811987	13.96006150237594	-31.43993849762406
1vet	-45.05	13708.99	298.15	0.04481026130762047	13.360179408867042	-31.689820591132957
1veu	-45.05	11319.01	298.15	0.04345749456622591	12.956852004920254	-32.09314799507975
1q5w	-22.26	7556.09	298.15	0.040995337193556185	12.222759784258775	-10.037240215741226
1tdq	-45.21	20701.5	298.15	0.04819956043425225	14.370698943472307	-30.839301056527695
1r8u	-45.01	19248.82	298.15	0.04754939087262005	14.176850888671666	-30.833149111328332
1syq	-44.71	16036.09	298.15	0.04601803483577184	13.720277086285373	-30.98972291371463
1w72	-44.83	70845.38	298.15	0.06366787905407764	18.98257813997325	-25.84742186002675
1sb0	-27.53	43085.73	298.15	0.05625588848239571	16.77269315102628	-10.75730684897372
1tzn	-55.76	437662.59	298.15	0.11368154778683291	33.89415347264423	-21.86584652735577
1sg1	-38.42	27924.03	298.15	0.05113727702425267	15.246579144780933	-23.17342085521907
1t44	-34.25	21188.92	298.15	0.04841256961969187	14.43420763211113	-19.815792367888868
1th1	-49.53	48068.31	298.15	0.05773252530874172	17.212952420801344	-32.31704757919866
1sy6	-31.76	28341.8	298.15	0.05129480687867349	15.2935466708765	-16.466453329123503
1xt9	-38.24	12860.81	298.15	0.04434478860074278	13.221398721311457	-25.018601278688543
1vyt	-43.94	31935.46	298.15	0.052604587145090705	15.684057657308792	-28.255942342691206
1w1w	-20.46	66891.36	298.15	0.06271485534126661	18.698434119998637	-1.7615658800013634
1u7v	-37.26	25885.8	298.15	0.05035123583471038	15.012220964118898	-22.247779035881102
1usu	-31.29	20085.69	298.15	0.047926824593329406	14.289382752501162	-17.000617247498838
1usv	-31.29	81300.55	298.15	0.06606672704862475	19.697794669547466	-11.592205330452533
1uel	-31.21	58071.59	298.15	0.06048188708069105	18.032674633108034	-13.177325366891967
1tlh	-20.11	12196.96	298.15	0.043969658549871574	13.109553696644209	-7.00044630335579
1sq0	-42.94	20152.6	298.15	0.04795665893199512	14.298277860574343	-28.641722139425653
1p6a	-42.56	14224.19	298.15	0.04508598820097642	13.442387382121119	-29.117612617878883
1rkc	-42.29	15816.34	298.15	0.04590790495319858	13.687441861796156	-28.602558138203843
1t01	-42.29	17772.78	298.15	0.04686311003344282	13.972236256470975	-28.317763743529024
1p4b	-59.35	11127.47	298.15	0.04334314505654495	12.922758698608876	-46.42724130139113
1oyh	-42.1	35338.27	298.15	0.053778400282609426	16.03403004426	-26.06596995574
1rvj	-30.81	29502.79	298.15	0.05172658831938415	15.422282307424382	-15.387717692575617
1rke	-41.67	21242.31	298.15	0.048435752222244687	14.441119525062252	-27.22888047493775
1u7f	-41.3	27759.41	298.15	0.05107487983358387	15.22797542238303	-26.072024577616965
1vg0	-47.38	27365.98	298.15	0.0509250013142174	15.183289141833917	-32.196710858166085
1ty4	-46.77	18939.61	298.15	0.047407864889181556	14.13465491670948	-32.635345083290524
1s4y	-46.59	22925.01	298.15	0.04915202756890246	14.654677019668268	-31.935322980331733
1u0i	-40.84	4818.09	298.15	0.038780059225312774	11.562274658027002	-29.277725341973003
1p69	-40.63	14286.99	298.15	0.045119253949848184	13.452305565147235	-27.177694434852768
1shy	-40.22	33583.47	298.15	0.05318049870041626	15.855765687529107	-24.36423431247089
1p2c	-57.13	47232.02	298.15	0.05749022226174244	17.140709767338507	-39.989290232661496
