pdb_id	delta_G	complex_count	delta_H
1ty4	-46.77	362	-62.18
1s4y	-46.59	393	-62.56
1u0i	-40.84	42	-50.53
1p69	-40.63	309	-55.09
1shy	-40.22	727	-62.16
1s1q	-18.84	418	-35.25
1nm5	-41.22	892	-66.11
1tm7	-65.53	345	-80.64
1tm1	-65.77	345	-80.88
1tm5	-61.47	345	-76.58
1tm3	-61.19	345	-76.30
1tm4	-56.43	345	-71.54
1to1	-53.29	345	-68.40
1uuz	-43.39	517	-61.57
1te1	-48.34	464	-65.58
1ta3	-45.92	575	-65.14
1zjd	-52.48	294	-66.68
1yc0	-49.65	313	-64.19
1vyh	-40.51	5280	-143.86
1z7x	-88.68	1172	-118.58
1zhi	-38.24	320	-52.90
1r6q	-36.99	471	-54.35
1wlp	-35.35	163	-47.20
1zm4	-34.30	3087	-98.44
1y8n	-33.86	471	-51.22
2c1m	-51.13	470	-68.47
1ydi	-49.94	280	-63.89
2b4j	-45.45	444	-62.33
2b0z	-22.83	402	-38.96
1v18	-45.66	544	-64.33
1z92	-45.66	244	-58.96
2ajf	-45.66	1542	-82.17
2b10	-28.54	804	-51.86
1wa8	-45.43	194	-57.84
1x1y	-27.95	594	-47.51
2a7u	-39.50	127	-50.71
1x1u	-44.97	596	-64.57
1wdw	-44.77	3760	-120.94
1wr1	-27.57	134	-38.91
1t63	-27.53	264	-41.19
1x75	-44.27	451	-61.27
1y6m	-38.60	346	-53.73
1yd8	-21.36	332	-36.24
1y6k	-51.37	350	-66.57
1yru	-51.37	420	-67.82
2bp7	-51.37	2980	-113.59
2c1t	-49.65	921	-75.06
2byk	-32.18	319	-46.82
2bym	-32.18	298	-46.45
2be6	-48.97	483	-66.55
1ri8	-48.73	253	-62.19
2b12	-26.82	402	-42.95
2bqz	-26.82	340	-41.84
1wr6	-20.76	641	-41.16
2aw2	-43.39	417	-59.79
1t0p	-26.27	260	-39.86
1x1w	-43.26	596	-62.86
1y6n	-43.20	339	-58.20
1vrc	-25.95	428	-42.54
1t5z	-25.58	261	-39.19
1yx5	-19.73	188	-32.03
1xj7	-25.16	265	-38.84
1u5s	-14.40	137	-25.79
1shz	-31.52	1037	-59.00
1wrd	-19.34	174	-31.39
1zc3	-42.10	564	-61.12
1zc4	-42.10	572	-61.27
1x1x	-41.53	596	-61.13
1pk1	-41.48	267	-55.19
1xg2	-47.38	468	-64.69
1y76	-30.26	244	-43.56
2b11	-30.26	804	-53.58
1xqs	-29.61	858	-53.89
1ul1	-41.22	1743	-81.32
2a78	-41.22	377	-56.90
2a9k	-41.22	377	-56.90
2c5d	-46.93	1146	-76.36
1zsg	-29.25	87	-39.75
1zmy	-46.34	391	-62.27
1z0k	-29.19	459	-46.34
1yx6	-23.61	188	-35.91
1rjc	-57.72	252	-71.17
1wve	-46.55	1180	-76.59
1wqj	-34.61	142	-46.09
1wa7	-28.64	82	-39.05
1y3c	-60.51	345	-75.62
1y3b	-54.27	345	-69.38
1y1k	-54.35	345	-69.46
1y34	-52.99	345	-68.10
1y3d	-52.81	345	-67.92
1y4a	-50.92	338	-65.90
1y4d	-50.92	339	-65.92
1zli	-50.72	380	-66.45
1y33	-50.05	345	-65.16
1y48	-50.05	345	-65.16
1wpx	-49.91	625	-70.03
1zr0	-45.01	572	-64.18
2bo9	-48.65	1048	-76.33
2hev	-42.86	266	-56.56
2gng	-31.52	358	-46.86
2gww	-56.84	281	-70.80
1zvy	-57.08	254	-70.56
2cjs	-39.95	373	-55.56
2f6a	-38.24	1331	-70.98
2dx5	-19.87	172	-31.89
2b7c	-36.52	527	-54.88
2f5z	-51.99	4930	-149.08
2fu5	-52.25	517	-70.43
2ixq	-35.13	285	-49.17
1yk0	-51.47	809	-74.87
2f9z	-34.51	691	-55.81
2b42	-51.20	548	-69.94
2j1k	-51.13	3623	-124.85
2g2u	-33.69	430	-50.32
2i32	-33.60	345	-48.71
2d10	-50.05	1266	-81.63
2b87	-39.95	116	-50.96
2f31	-39.90	248	-53.27
2hth	-22.71	202	-35.26
2c0l	-39.74	414	-56.08
1zv5	-45.66	248	-59.03
2aq2	-45.43	344	-60.52
2fdb	-38.87	685	-60.06
2ftm	-61.62	281	-75.58
2den	-27.22	122	-38.34
1yrt	-51.37	420	-67.82
2g45	-31.68	386	-47.52
2fyl	-31.69	163	-43.54
2hd5	-31.69	391	-47.62
2j12	-43.94	302	-58.28
2hwn	-49.65	206	-62.27
2few	-13.88	240	-27.11
2fuh	-20.11	222	-33.02
2a24	-25.82	215	-38.60
2dsp	-31.52	148	-43.11
2hle	-42.23	321	-56.91
2djy	-25.10	62	-35.15
2h4m	-42.10	1687	-81.20
2arp	-36.34	253	-49.80
1yk1	-41.89	809	-65.29
2fju	-30.11	873	-54.66
2aq1	-47.14	1380	-80.75
2g2w	-35.59	429	-52.20
2es4	-47.38	1176	-77.35
2c7m	-29.64	132	-40.94
2c7n	-29.64	765	-52.26
2hsq	-46.69	284	-60.71
2ftl	-75.47	280	-89.42
2f4m	-41.02	356	-56.33
2aq3	-29.22	1376	-62.76
1zvh	-40.84	251	-54.27
2iy1	-34.84	618	-54.83
2bwe	-23.38	1047	-51.04
2a9h	-34.51	424	-51.03
2gh0	-40.22	598	-59.85
1zgu	-22.88	215	-35.66
2hrk	-45.92	298	-60.19
2j7p	-45.66	1107	-74.39
2j0t	-53.64	854	-77.85
2abz	-48.82	826	-72.53
2o3b	-65.61	376	-81.27
1yvb	-46.73	352	-61.96
2j8x	-46.21	623	-66.29
2omy	-38.24	566	-57.30
2qxv	-36.64	381	-52.39
2oin	-35.92	369	-51.46
2odg	-35.55	225	-48.51
2omu	-52.64	567	-71.72
2o98	-51.77	573	-70.96
2gox	-51.92	724	-73.81
2i9b	-51.47	1514	-87.48
2ifg	-51.63	911	-76.86
2nyz	-51.63	869	-76.11
2pkg	-34.10	1318	-66.61
2i25	-51.37	489	-69.05
2qej	-51.13	803	-74.43
2omv	-50.92	564	-69.94
2pon	-33.41	179	-45.55
2ot3	-32.79	410	-49.06
2pms	-45.59	880	-70.26
2ju0	-39.95	227	-52.95
2omt	-39.95	567	-59.03
2q7n	-62.78	1320	-95.32
2qc1	-62.78	286	-76.83
2omw	-28.54	566	-47.60
2qiy	-39.52	317	-54.13
2omx	-39.50	569	-58.61
2noj	-45.01	1344	-77.98
2rf9	-27.89	602	-47.59
2q0o	-44.67	643	-65.11
2r9p	-27.70	1128	-56.81
2oor	-44.58	915	-69.88
2phe	-27.53	158	-39.30
2rmk	-38.64	273	-52.46
2ij0	-55.62	621	-75.66
2p4a	-55.62	490	-73.32
2jgz	-17.12	548	-35.86
2p1l	-32.18	660	-52.92
2oza	-49.10	672	-70.06
2i3t	-31.78	1484	-67.25
2ot8	-43.94	1674	-82.81
2ra3	-61.07	562	-80.06
2v8s	-26.58	230	-39.63
2p49	-43.60	242	-56.87
2j8s	-43.11	3426	-113.31
2v6x	-25.99	119	-37.06
2yvj	-20.16	909	-45.35
2hqw	-49.65	160	-61.45
2iou	-31.16	3272	-98.60
2i3s	-31.07	1102	-59.71
2iyb	-31.07	705	-52.62
2psm	-60.06	371	-75.63
2iwg	-42.42	776	-65.23
2z3q	-59.48	389	-75.38
2z3r	-59.48	1534	-95.85
2vda	-31.52	856	-55.77
2pop	-30.69	810	-54.11
2z8w	-47.53	902	-72.60
2z8v	-47.48	902	-72.55
2omz	-36.52	571	-55.67
2ihs	-42.23	433	-58.91
2jt4	-25.10	147	-36.67
2ptt	-30.81	211	-43.52
2j59	-41.44	1669	-80.22
2oob	-24.22	116	-35.23
2v3b	-30.26	434	-46.96
2qho	-24.10	488	-41.77
2onl	-46.93	1307	-79.24
2ibf	-46.28	302	-60.62
2v9t	-46.15	317	-60.76
2uyz	-40.45	234	-53.57
2px9	-23.16	375	-38.80
2i26	-45.81	736	-67.91
3biw	-40.03	2840	-99.75
2o8v	-34.01	337	-48.98
2g81	-44.90	279	-58.83
2nz1	-44.20	1305	-76.47
2jod	-36.85	139	-48.28
2nqd	-59.41	330	-74.25
2uuy	-47.10	275	-60.96
3c5t	-54.35	129	-65.60
2z7f	-46.73	268	-60.46
3brt	-44.20	205	-56.81
3brv	-43.54	204	-56.13
2qur	-37.68	358	-53.02
3c59	-49.10	128	-60.33
3ehu	-31.29	914	-56.57
2za4	-56.24	390	-72.15
2vdb	-56.07	629	-76.26
3dxc	-38.00	307	-52.43
2k05	-38.24	206	-50.86
3dvu	-38.24	309	-52.70
2roz	-37.07	168	-49.01
3dxe	-36.99	308	-51.44
3dxd	-36.92	307	-51.35
2vlp	-70.01	216	-82.81
2jti	-35.56	397	-51.60
2jzn	-18.84	431	-35.49
1vsq	-18.84	429	-35.45
3ddc	-34.89	299	-49.18
2vof	-52.25	332	-67.13
2vlo	-68.78	222	-81.69
2z34	-34.54	347	-49.68
3c4m	-34.30	978	-60.73
3f5c	-34.51	607	-54.30
2v51	-34.25	759	-56.76
2qja	-51.13	386	-66.97
2voi	-51.13	174	-63.18
2v4z	-33.69	438	-50.46
2jjt	-33.79	455	-50.87
2jjs	-33.79	465	-51.04
2jki	-33.02	921	-58.43
2vln	-67.21	214	-79.98
2v52	-32.66	390	-48.57
2p45	-39.59	240	-52.82
2p46	-39.59	472	-56.97
2p48	-39.59	240	-52.82
2p47	-39.59	239	-52.80
3ch5	-22.38	230	-35.43
3eg5	-33.69	1030	-61.05
3eab	-28.09	759	-50.60
2ver	-27.87	253	-41.33
2rms	-39.23	132	-50.53
2q5d	-44.56	1775	-85.24
2p8q	-44.56	912	-69.81
2rnr	-38.95	170	-50.93
2z58	-44.50	384	-60.31
2k6d	-21.50	138	-32.91
2otk	-44.35	111	-55.27
3d5r	-44.07	724	-65.96
2voh	-51.37	179	-63.51
3dgc	-51.37	691	-72.67
3d5o	-34.25	1191	-64.49
3eba	-49.24	252	-62.69
3e2u	-32.18	383	-47.97
2qj9	-49.20	386	-65.04
2k3s	-31.78	186	-44.05
3eoy	-48.82	1577	-85.96
2p44	-43.94	237	-57.12
2jy6	-26.82	128	-38.05
3bn3	-26.82	376	-42.48
2vog	-38.11	167	-50.04
2vlq	-60.74	218	-73.58
3bk3	-43.71	342	-58.76
2p43	-43.60	244	-56.90
2p42	-43.60	484	-61.19
3d5s	-43.29	724	-65.18
3blh	-37.23	546	-55.93
3ech	-37.23	288	-51.32
3d7u	-25.82	1020	-53.00
3cx8	-36.92	512	-55.01
2k42	-42.56	108	-53.43
2vsm	-42.56	550	-61.33
2k2u	-36.78	150	-48.40
2efh	-42.49	796	-65.66
3c66	-31.52	1105	-60.22
3bp8	-47.85	911	-73.08
3dvm	-47.74	162	-59.58
3c4p	-47.70	430	-64.33
3cqx	-30.52	918	-55.87
3c4o	-47.59	430	-64.22
3cx6	-30.36	505	-48.33
2qjb	-47.43	382	-63.20
2jtt	-30.31	242	-43.58
2vyr	-41.99	1336	-74.82
3ejj	-36.20	565	-55.24
3cqc	-47.93	433	-64.61
3cqg	-47.93	409	-64.18
2k5b	-30.81	339	-45.81
2ve7	-30.81	1010	-57.81
3beg	-41.67	434	-58.37
3cx7	-35.87	512	-53.96
2efd	-46.44	796	-69.61
3c9a	-46.31	511	-64.39
2vay	-46.25	167	-58.18
3d7t	-23.71	514	-41.84
2v5q	-40.80	829	-64.56
3crk	-29.00	903	-54.09
2qna	-40.42	774	-63.20
3bik	-29.09	446	-46.00
3bs5	-40.15	157	-51.90
3bh6	-40.08	475	-57.51
3bx1	-33.60	900	-58.63
3d1m	-33.60	484	-51.19
3b4v	-60.06	1280	-91.89
3fju	-50.20	372	-65.79
2oul	-50.05	348	-65.21
3ixe	-33.90	241	-47.15
3iol	-37.68	126	-48.87
2w84	-40.84	77	-51.16
3da7	-39.30	774	-62.08
3fp6	-74.20	281	-88.16
2wjv	-38.24	1654	-76.75
3inb	-38.24	1044	-65.85
2kbw	-37.07	191	-49.43
2khs	-36.78	156	-48.51
2wel	-37.23	449	-54.20
2w83	-36.40	613	-56.30
3g3a	-36.34	1168	-66.16
3gty	-53.24	561	-72.21
2zvk	-36.52	777	-59.35
2k79	-18.12	171	-30.12
2k7a	-18.12	171	-30.12
3idc	-52.64	501	-70.54
2wp0	-34.43	532	-52.88
3knb	-34.40	194	-46.81
3h3g	-34.27	493	-52.02
3ew3	-50.92	569	-70.03
2wy2	-16.47	412	-32.78
3hcu	-33.27	509	-51.31
3hct	-33.27	252	-46.72
2zvo	-33.08	471	-50.44
2zvn	-33.08	931	-58.67
2k8c	-15.67	156	-27.40
2k8b	-15.67	156	-27.40
3htu	-32.79	439	-49.58
2wo2	-28.35	314	-42.90
3k8p	-45.66	869	-70.14
3idb	-45.36	492	-63.10
3eiq	-39.72	1013	-66.77
3ifq	-39.59	1258	-71.02
2knb	-28.30	138	-39.71
3hh2	-45.15	771	-67.88
3h2u	-27.97	915	-53.27
3f1p	-22.38	225	-35.34
3gni	-45.21	639	-65.58
3ff8	-22.18	425	-38.72
2wqz	-39.27	1443	-74.01
3hpw	-27.89	235	-41.03
2w19	-39.12	983	-65.64
2wfx	-44.83	570	-63.96
3hg0	-44.50	523	-62.79
3di2	-27.08	616	-47.03
3g9v	-68.49	613	-88.39
3kv4	-34.25	444	-51.13
3gc3	-32.41	678	-53.47
2wo3	-32.18	318	-46.81
2k8f	-31.78	129	-43.03
2kc8	-38.24	128	-49.47
3ff7	-21.11	419	-37.54
3gxu	-38.20	309	-52.66
3doe	-43.94	303	-58.30
3g7z	-61.07	269	-74.82
3fhc	-43.75	605	-63.51
3di3	-43.82	311	-58.32
3h8k	-43.82	192	-56.19
3h2v	-26.57	977	-52.98
3ho5	-38.00	1051	-65.73
3jvf	-37.30	478	-54.79
3etb	-60.15	1489	-95.71
3gqi	-42.70	530	-61.12
3g3b	-42.63	1065	-70.61
3g9w	-25.36	500	-43.24
3gj8	-31.52	461	-48.70
2zxx	-47.70	644	-68.15
3it8	-59.17	2706	-116.49
3gj5	-24.70	454	-41.76
3f7p	-24.60	1069	-52.65
3gj3	-24.60	229	-37.63
2w81	-47.93	1083	-76.23
2w80	-47.93	1467	-83.10
3gj7	-30.81	457	-47.92
3kls	-47.14	3482	-118.34
2ka6	-41.57	137	-52.96
2k2s	-41.53	191	-53.89
2ka4	-41.30	157	-53.05
3ejh	-30.26	210	-42.95
3gb8	-29.61	1227	-60.49
3gj6	-29.61	229	-42.64
3gj4	-29.57	453	-46.61
2kj4	-41.02	119	-52.09
2wg3	-40.71	1120	-69.68
2wg4	-40.70	566	-59.76
2wwx	-40.54	370	-56.10
2k3u	-46.09	111	-57.01
2kde	-28.83	263	-42.47
2wx0	-29.09	351	-44.31
3ia3	-40.13	450	-57.12
3bzd	-22.93	343	-38.00
2kgx	-28.80	265	-42.48
3gmw	-58.80	832	-82.62
3fxd	-43.94	214	-56.71
3fsh	-47.38	355	-62.67
3h8d	-40.51	614	-60.43
3e1z	-59.61	321	-74.29
3h6s	-57.63	1480	-93.03
3fii	-49.78	429	-66.39
3fie	-51.37	875	-75.95
3k9m	-49.65	704	-71.18
3e2l	-58.00	839	-81.94
3e2k	-58.00	843	-82.01
3g7a	-45.92	66	-56.04
3f50	-45.92	60	-55.93
3n00	-39.72	205	-52.33
3mc0	-39.40	673	-60.37
3fpu	-56.62	166	-68.53
3laq	-55.76	767	-78.41
2wpt	-39.95	195	-52.38
3ogo	-54.19	1369	-87.61
3l9j	-54.04	279	-67.97
3mca	-36.58	718	-58.36
3kuc	-36.27	243	-49.55
3o6q	-53.29	368	-68.81
2kwj	-35.96	133	-47.28
2wp3	-34.82	196	-47.26
2wwk	-33.63	198	-46.11
3oky	-33.60	1149	-63.08
3ma2	-33.19	575	-52.41
3kud	-32.93	241	-46.18
3m0a	-32.93	260	-46.52
3osl	-49.91	740	-72.08
3k75	-39.72	791	-62.80
3kz1	-39.72	1075	-67.88
2xb6	-39.61	1424	-74.01
2kxh	-27.70	230	-40.75
3k6g	-44.42	371	-59.99
3oak	-38.65	362	-54.06
2x1w	-44.50	1154	-74.07
2x1x	-44.50	304	-58.88
2l0f	-21.49	121	-32.59
3m63	-38.57	1025	-65.84
3m18	-55.62	372	-71.21
2kwi	-38.44	234	-51.56
2wh6	-44.20	179	-56.34
2rr3	-32.41	172	-44.43
3onw	-49.30	702	-70.79
2kwk	-32.18	134	-43.52
3mjh	-32.08	402	-48.21
3mhp	-31.74	611	-51.60
3a4s	-31.69	446	-48.60
3ohm	-38.24	1077	-66.44
3hug	-43.94	1363	-77.25
3ncc	-3.85	392	-19.80
3kyi	-20.90	231	-33.97
2xdf	-26.70	1316	-59.17
3o6b	-37.92	1272	-69.60
2wd5	-43.71	368	-59.23
3mzw	-60.83	622	-80.89
3ouw	-43.60	524	-61.91
2ktf	-26.47	108	-37.34
3l89	-37.37	3715	-112.73
3nvq	-37.34	2124	-84.26
3kj2	-49.65	173	-61.68
3kj1	-49.65	174	-61.70
3kj0	-49.65	181	-61.83
2wvw	-32.53	5416	-138.31
3npz	-31.40	587	-50.84
3n06	-14.32	392	-30.27
2l14	-31.44	108	-42.31
3m9d	-31.21	2418	-83.38
3oiq	-30.94	213	-43.69
2xgy	-25.82	294	-40.02
2xqr	-42.86	4098	-125.07
2xa0	-42.54	326	-57.31
3oux	-42.56	550	-61.33
2wy8	-36.78	358	-52.12
3kw5	-36.61	298	-50.88
3jza	-65.77	361	-81.16
2x9a	-30.57	302	-44.91
3mzg	-13.15	392	-29.10
3ajb	-42.18	319	-56.82
3lbx	-36.52	322	-51.22
2kwo	-24.71	133	-36.03
2kri	-24.76	120	-35.85
3im4	-41.77	126	-52.96
3n0p	-13.08	392	-29.03
3ol2	-30.02	1110	-58.81
2kvq	-24.55	139	-35.98
2kwu	-24.50	112	-35.44
2kqs	-24.30	117	-35.33
3mj7	-30.26	418	-46.67
2x2d	-29.76	609	-49.59
2l0t	-23.94	239	-37.15
2wy3	-40.98	610	-60.83
3lb8	-23.86	1043	-51.45
2kyg	-40.95	138	-52.36
3me2	-58.03	322	-72.73
3k2m	-46.55	399	-62.62
3egg	-46.01	814	-69.50
3kbt	-45.84	886	-70.62
3gs2	-45.87	276	-59.74
3nvn	-45.81	857	-70.07
3ixs	-40.22	812	-63.68
2kwv	-23.09	112	-34.03
3ncb	-5.89	392	-21.84
3k1r	-51.37	266	-65.07
2wus	-30.26	837	-54.17
3lms	-50.92	383	-66.71
3l33	-39.19	1104	-67.87
2xtt	-61.07	258	-74.62
3kz0	-37.46	334	-52.37
2yj1	-45.01	321	-59.69
3qbr	-42.63	371	-58.20
3zrz	-60.06	214	-72.83
2xqw	-38.50	711	-60.15
3p71	-36.64	618	-56.63
3alz	-35.87	526	-54.21
3au4	-35.82	556	-54.70
3tac	-35.73	616	-55.68
3ry6	-18.84	595	-38.42
3oed	-35.96	848	-60.06
3ona	-35.20	224	-48.15
3syn	-35.51	1096	-64.05
2y8s	-51.40	848	-75.50
3qbt	-34.51	1217	-65.21
3n4i	-51.13	430	-67.76
3qhy	-68.26	529	-86.66
3rt0	-33.79	972	-60.11
3noc	-50.36	3391	-119.93
3o5t	-33.24	395	-49.24
3qq8	-33.24	257	-46.78
2kxw	-45.66	100	-56.39
3qc8	-28.26	250	-41.67
2xze	-39.65	322	-54.35
3qlu	-45.43	1498	-81.15
2xbb	-28.30	904	-53.40
3rbb	-45.15	378	-60.85
2l2l	-45.13	79	-55.48
3onl	-28.09	371	-43.66
3oj2	-39.30	688	-60.54
3ojm	-39.30	356	-54.61
3qml	-45.01	1282	-76.87
2y8t	-44.79	855	-69.02
2xpx	-38.95	176	-51.04
3zs9	-38.95	661	-59.71
3zwl	-38.79	769	-61.48
3b08	-27.19	836	-51.08
3rea	-38.51	372	-54.10
3q9n	-44.35	588	-63.80
3sja	-44.35	2002	-89.09
3sua	-26.96	2048	-72.52
2l9s	-32.29	139	-43.72
3owt	-31.98	316	-46.57
3sf4	-49.20	1183	-79.29
3rdz	-48.92	574	-68.12
3sgk	-48.73	586	-68.15
3r4d	-43.78	856	-68.03
3nog	-43.66	3382	-113.07
3qbq	-37.89	638	-58.24
2kt5	-25.99	164	-37.86
2y9m	-49.65	283	-63.65
3aon	-48.49	279	-62.42
3r9a	-31.14	1355	-64.31
2xhe	-48.00	787	-71.01
3t6g	-42.94	837	-66.85
3sjd	-42.86	919	-68.23
3oxu	-25.50	1252	-56.83
3q4f	-30.75	1536	-67.15
3qs7	-42.23	1627	-80.26
3r85	-25.02	633	-45.28
