pdb_id	delta_G	Avg_Bfactor_Total	Avg_Bfactor_Interface
1i4d	-31.52	56.78	43.97
1i5k	-42.1	40.77	36.94
1jiw	-65.06	18.41	12.72
1fqj	-40.95	34.05	28.13
1j7d	-32.53	32.42	31.6
1jtg	-56.84	23.77	21.43
1gl1	-56.43	31.54	31.19
1gl0	-51.92	24.51	40.83
1i3o	-51.44	55.23	50.19
1eja	-51.37	31.17	39.15
1id5	-50.36	46.89	43.25
1f7z	-28.01	17.6	13.36
3tgk	-28.09	15.48	11.69
1jtd	-60.3	18.85	16.37
1f5r	-23.9	19.21	15.49
1gpw	-44.07	58.38	52.2
1jmo	-39.61	53.69	49.86
1jps	-57.08	28.45	19.76
1lm8	-38.0	35.85	32.81
1lzw	-36.99	46.84	39.54
1l2w	-54.35	48.16	50.33
1i51	-35.39	62.38	62.13
1go4	-34.15	63.93	54.45
1jwh	-45.09	91.62	93.07
1l4z	-38.28	51.75	46.44
1l4d	-38.28	28.65	26.35
1kxp	-51.37	37.25	27.1
1mxe	-68.49	16.46	14.78
1k5d	-34.25	59.11	63.89
1k93	-43.94	91.81	92.76
1ktk	-26.82	76.03	77.09
1i8k	-43.71	13.1	9.89
1kxt	-37.84	15.75	17.92
1ijk	-43.6	38.98	35.75
1kgy	-43.39	43.28	42.37
1kxv	-43.39	16.87	15.61
1lj2	-26.08	28.7	33.43
1ktz	-37.31	44.74	36.37
1lw6	-66.77	10.33	9.8
1kxq	-48.26	16.43	15.55
1lqb	-42.86	36.06	33.95
1kbh	-42.63	10.0	10.0
1h59	-42.42	36.98	29.78
1gng	-42.29	53.58	51.0
1kkl	-41.93	51.98	53.15
1eaw	-58.81	14.47	11.25
1lqs	-47.93	52.14	42.57
1gxd	-47.28	37.74	51.79
1m10	-47.01	52.23	42.18
1jsp	-24.55	0.0	0.0
1l0x	-29.8	40.2	29.15
1l8c	-46.55	0.0	0.0
1m1e	-51.37	35.4	39.17
1l0y	-29.8	38.96	28.09
1k2d	-24.55	49.87	48.15
1ob1	-55.36	11.51	11.28
1jgn	-36.85	0.0	0.0
1ogy	-53.09	43.14	38.01
1op9	-52.25	16.27	12.71
1p27	-52.25	22.52	20.68
1p9m	-51.92	117.08	115.27
1lx5	-50.92	68.76	62.92
1p3q	-33.79	28.26	34.43
1n64	-50.72	36.28	30.05
1j2j	-33.41	15.37	12.68
1jh4	-33.24	0.0	0.0
1mzw	-32.57	12.94	10.94
1oqe	-39.74	40.45	54.4
1nys	-45.66	76.94	65.4
1nyu	-45.66	95.7	78.97
1mi5	-28.54	39.61	33.86
1p9d	-27.91	0.0	0.0
1uad	-39.17	45.5	36.61
1otr	-21.74	0.0	0.0
1pjm	-38.5	46.53	45.36
1mhh	-51.37	40.02	33.8
1o9a	-34.25	0.0	0.0
1m5n	-49.53	61.37	60.95
1psb	-26.82	0.0	0.0
1pjn	-43.71	51.37	53.9
1h1v	-43.6	28.81	15.94
1q0w	-20.31	0.0	0.0
1r0r	-60.11	15.67	15.28
1uex	-49.65	36.18	36.18
1lp1	-32.53	60.87	57.97
1p4l	-31.52	75.99	67.71
1ozs	-25.73	0.0	0.0
1mq8	-31.52	67.02	47.99
1q68	-36.52	0.0	0.0
1p22	-36.07	18.84	19.73
1oey	-47.93	18.05	13.45
1o95	-30.26	58.36	59.87
1h0t	-29.8	0.0	0.0
1pvh	-40.51	53.74	39.5
1p1z	-23.38	52.18	51.52
1q69	-34.51	0.0	0.0
1nez	-28.54	43.15	36.75
1oc0	-51.37	26.5	25.4
1nvu	-31.07	35.09	37.75
1nf3	-41.67	28.38	23.87
1oph	-47.38	41.48	32.32
1o94	-30.26	32.58	39.46
1nw9	-45.01	49.22	49.08
1pxv	-54.27	32.46	26.12
1p0s	-62.55	41.94	40.22
1nb5	-58.0	40.09	40.36
1mcv	-40.0	12.75	10.41
1oyv	-45.92	32.1	33.95
1rpq	-44.5	69.33	52.4
1xxf	-39.95	47.89	47.14
1rv6	-39.16	11.65	9.22
1xx9	-50.36	39.21	36.01
1xu1	-48.69	19.24	16.81
1xxd	-37.23	40.9	41.43
1v7p	-48.65	22.54	19.5
1ry7	-37.89	40.42	22.87
1u0s	-37.89	26.9	27.25
1xqh	-38.24	6.77	9.05
1pd7	-37.23	0.0	0.0
1xd3	-37.23	16.56	15.42
1t6b	-53.64	22.35	20.52
1nl0	-50.2	39.59	38.01
1tzh	-49.91	26.31	23.53
1us7	-32.79	36.57	22.33
1tzi	-45.66	48.99	43.03
1xr0	-28.54	0.0	0.0
1sv0	-45.4	39.71	32.59
1vet	-45.05	39.29	33.44
1veu	-45.05	31.1	26.59
1q5w	-22.26	0.0	0.0
1tdq	-45.21	34.09	24.46
1r8u	-45.01	0.0	0.0
1syq	-44.71	55.18	46.92
1w72	-44.83	23.76	22.58
1sb0	-27.53	10.0	10.0
1tzn	-55.76	65.12	88.5
1sg1	-38.42	50.28	43.01
1t44	-34.25	16.54	17.21
1th1	-49.53	49.54	53.26
1sy6	-31.76	24.37	18.67
1xt9	-38.24	35.22	28.83
1vyt	-43.94	51.79	47.37
1w1w	-20.46	66.37	61.94
1u7v	-37.26	67.79	73.74
1usu	-31.29	48.65	47.85
1usv	-31.29	54.66	58.57
1uel	-31.21	0.0	0.0
1tlh	-20.11	0.0	0.0
1sq0	-42.94	40.53	37.59
1p6a	-42.56	44.73	39.81
1rkc	-42.29	113.85	124.67
1t01	-42.29	47.73	42.84
1p4b	-59.35	34.85	29.97
1oyh	-42.1	55.16	50.9
1rvj	-30.81	56.52	53.24
1rke	-41.67	56.48	51.38
1u7f	-41.3	64.39	71.02
1vg0	-47.38	31.93	28.38
1ty4	-46.77	43.82	37.79
1s4y	-46.59	32.75	30.31
1u0i	-40.84	36.97	36.55
1p69	-40.63	17.69	15.43
1shy	-40.22	55.95	52.83
1p2c	-57.13	20.46	16.83
1s1q	-18.84	30.66	28.33
1nm5	-41.22	43.36	37.31
1tm7	-65.53	17.35	18.11
1tm1	-65.77	16.03	17.76
1tm5	-61.47	15.03	16.57
1tm3	-61.19	15.25	17.08
1tm4	-56.43	18.85	20.88
1to1	-53.29	16.59	17.88
1tt5	-26.58	68.27	58.05
1uuz	-43.39	26.47	23.58
1te1	-48.34	27.73	22.42
1ta3	-45.92	10.73	9.55
1zjd	-52.48	61.84	53.48
1yc0	-49.65	28.04	18.11
2ass	-46.93	61.45	66.1
1vyh	-40.51	17.43	17.51
1z7x	-88.68	27.19	32.16
1zhi	-38.24	59.99	40.64
1r6q	-36.99	27.47	33.69
1wlp	-35.35	1.7	0.8
1zm4	-34.3	52.23	33.1
1y8n	-33.86	62.34	56.72
2c1m	-51.13	43.18	47.53
1ze3	-33.79	17.18	16.92
1uwx	-33.08	19.25	20.19
1ydi	-49.94	14.55	15.32
2b4j	-45.45	36.81	33.31
2b0z	-22.83	28.77	25.49
1v18	-45.66	47.18	46.92
1z92	-45.66	80.93	80.65
2ajf	-45.66	90.96	83.61
2b5i	-62.78	57.58	55.41
2b10	-28.54	19.13	23.7
1wa8	-45.43	0.0	0.0
1x1y	-27.95	29.25	24.93
2a7u	-39.5	0.98	0.66
2aep	-45.21	36.5	34.02
2aeq	-45.21	32.64	32.64
1x1u	-44.97	36.32	29.31
2bnr	-27.83	32.43	27.64
1wdw	-44.77	72.13	80.56
1wr1	-27.57	0.0	0.0
1t63	-27.53	37.92	48.07
1x75	-44.27	39.15	30.76
1y6m	-38.6	75.73	72.81
1yd8	-21.36	46.51	43.59
1y6k	-51.37	54.17	46.42
1yru	-51.37	34.75	30.72
2bp7	-51.37	35.93	30.23
2c1t	-49.65	52.96	51.96
1yy9	-49.3	33.79	35.72
2byk	-32.18	66.1	59.63
2bym	-32.18	38.31	33.35
2be6	-48.97	31.55	31.85
1ri8	-48.73	15.94	12.68
2b12	-26.82	5.58	3.04
2bqz	-26.82	12.29	12.25
1wr6	-20.76	52.23	50.86
2aw2	-43.39	64.29	60.43
1t0p	-26.27	21.91	19.56
1x1w	-43.26	37.24	30.63
1y6n	-43.2	43.08	37.03
1vrc	-25.95	0.2	0.69
1z5s	-31.49	90.29	87.6
1t5z	-25.58	39.2	54.2
1za3	-42.63	22.99	19.87
1yx5	-19.73	0.0	0.0
1xwd	-19.47	55.85	51.32
1xj7	-25.16	56.74	76.19
1u5s	-14.4	0.82	0.58
1shz	-31.52	57.69	52.57
1wrd	-19.34	24.22	21.99
1zc3	-42.1	35.56	30.79
1zc4	-42.1	43.46	34.5
1yyl	-47.93	27.12	21.66
1x1x	-41.53	34.73	27.6
1pk1	-41.48	25.51	21.13
1xg2	-47.38	17.07	15.36
1y76	-30.26	0.0	0.0
2b11	-30.26	41.68	42.71
2b2w	-30.26	43.39	36.01
2bnq	-30.26	31.48	27.07
1xqs	-29.61	68.89	56.46
1ul1	-41.22	59.1	50.7
2a78	-41.22	16.62	12.52
2a9k	-41.22	20.57	16.87
2c5d	-46.93	62.86	46.83
1zsg	-29.25	0.0	0.0
1zmy	-46.34	33.28	32.76
1z0k	-29.19	31.72	31.27
1yx6	-23.61	0.0	0.0
1rjc	-57.72	15.53	14.09
1wve	-46.55	21.36	18.46
2ast	-29.42	58.32	62.31
1wqj	-34.61	28.19	26.44
1yym	-28.67	31.76	25.94
1wa7	-28.64	0.0	0.0
2ak4	-28.56	10.55	8.45
1y3c	-60.51	15.85	16.38
1y3b	-54.27	15.93	17.15
1y1k	-54.35	16.55	18.04
1y34	-52.99	14.63	15.82
1y3d	-52.81	17.92	18.74
1y4a	-50.92	16.1	16.03
1y4d	-50.92	26.55	25.15
1zli	-50.72	22.59	21.04
1y33	-50.05	15.76	17.54
1y48	-50.05	17.2	18.6
1wpx	-49.91	38.18	35.81
1zr0	-45.01	36.74	31.42
2bo9	-48.65	16.03	14.55
2hev	-42.86	42.47	38.85
2gng	-31.52	37.16	32.6
2cmr	-58.8	31.53	26.96
2gww	-56.84	80.57	77.04
2nyy	-56.52	13.52	9.68
2a6i	-39.5	21.71	27.63
2nz9	-56.31	84.88	81.65
2a6d	-38.95	24.24	23.16
1zvy	-57.08	17.81	13.07
2cjs	-39.95	29.75	23.63
2a6k	-38.11	34.16	34.04
2d1k	-37.89	59.04	61.99
2f6a	-38.24	63.65	51.61
2dx5	-19.87	19.92	14.36
2gl7	-36.18	24.76	26.67
2b7c	-36.52	25.6	26.58
2hfg	-52.64	49.82	44.62
2f5z	-51.99	41.38	47.59
2fu5	-52.25	44.34	30.86
2ixq	-35.13	0.0	0.0
1yk0	-51.47	54.2	62.66
2f9z	-34.51	47.02	44.79
2b42	-51.2	39.3	31.94
2j1k	-51.13	34.02	33.45
2g2u	-33.69	22.54	24.05
2i32	-33.6	53.06	46.37
2fjg	-50.36	38.01	35.64
2d10	-50.05	38.42	56.44
2b2x	-49.78	46.38	35.56
2iy0	-45.49	39.25	36.85
2b87	-39.95	0.0	0.0
2f31	-39.9	34.64	34.89
2hth	-22.71	59.68	57.68
2c0l	-39.74	36.02	29.87
1zv5	-45.66	35.58	27.44
2erj	-62.78	92.04	91.02
2aq2	-45.43	28.66	23.83
2fjh	-45.21	55.03	51.33
2fdb	-38.87	22.01	15.38
2ftm	-61.62	16.99	11.95
2den	-27.22	6.11	5.9
1yrt	-51.37	27.32	24.63
2i5y	-48.91	40.38	32.36
2g45	-31.68	40.93	32.77
2fyl	-31.69	2.82	3.39
2hd5	-31.69	22.61	17.97
2dd8	-43.94	49.6	40.79
2j12	-43.94	13.95	13.27
2hwn	-49.65	38.39	36.94
2few	-13.88	0.16	0.51
2fuh	-20.11	0.0	0.0
2a24	-25.82	0.42	0.68
2dsr	-37.09	19.72	16.65
2dsp	-31.52	42.18	40.89
2bdn	-64.71	47.25	40.42
2aze	-30.31	82.09	82.88
2hle	-42.23	56.81	52.54
2djy	-25.1	0.0	0.0
2h4m	-42.1	73.72	66.93
2arp	-36.34	40.49	33.84
1yk1	-41.89	72.62	94.4
2fju	-30.11	32.48	34.58
2aq1	-47.14	45.18	33.08
2dsq	-35.76	61.41	57.53
2g2w	-35.59	22.47	22.27
2es4	-47.38	34.41	30.24
2i60	-46.83	37.19	29.13
2c7m	-29.64	66.79	64.46
2c7n	-29.64	44.84	43.45
2hsq	-46.69	157.51	157.85
2ftl	-75.47	15.19	9.65
2f4m	-41.02	47.91	45.75
2aq3	-29.22	45.42	33.24
1zvh	-40.84	17.5	11.26
2iy1	-34.84	59.4	57.5
2bwe	-23.38	82.88	80.79
2a9h	-34.51	85.45	51.29
2gh0	-40.22	37.36	36.48
1zgu	-22.88	20.51	18.33
2hrk	-45.92	34.51	29.96
2g9h	-39.95	33.89	31.57
2j7p	-45.66	29.3	25.58
2j0t	-53.64	44.88	43.74
2abz	-48.82	32.48	28.65
2o3b	-65.61	46.62	42.49
1yvb	-46.73	52.13	41.82
2j8x	-46.21	24.1	25.38
2p5e	-58.9	14.95	11.7
2omy	-38.24	10.87	10.66
2uzi	-53.97	23.39	18.54
2qxv	-36.64	16.9	18.93
2oin	-35.92	42.93	35.87
2odg	-35.55	0.22	0.75
2j4w	-52.64	42.25	38.01
2omu	-52.64	13.13	13.19
2r0k	-52.64	16.45	12.96
2j6e	-35.51	77.63	68.05
2oje	-35.51	37.62	30.98
2o98	-51.77	50.7	49.46
2gox	-51.92	43.34	49.2
2i9b	-51.47	68.48	67.56
2ifg	-51.63	93.74	44.85
2nyz	-51.63	59.9	62.95
2pkg	-34.1	72.91	61.18
2i25	-51.37	38.49	36.13
2qej	-51.13	32.72	25.21
2omv	-50.92	18.02	18.15
2pon	-33.41	0.0	0.0
2ot3	-32.79	29.82	21.11
2pms	-45.59	31.72	29.48
2ju0	-39.95	0.0	0.0
2omt	-39.95	17.65	15.85
2q7n	-62.78	102.52	99.32
2qc1	-62.78	30.94	18.76
2nup	-28.54	39.29	42.31
2nut	-28.54	47.6	51.18
2omw	-28.54	16.0	18.25
2qiy	-39.52	28.69	29.93
2omx	-39.5	12.29	14.91
2noj	-45.01	48.65	34.08
2rf9	-27.89	68.32	64.56
2r0l	-44.72	23.22	21.72
2q0o	-44.67	39.45	40.84
2h64	-39.12	52.0	45.48
2r9p	-27.7	22.62	17.65
2jcc	-27.47	50.48	49.55
2oor	-44.58	57.78	42.75
2phe	-27.53	10.0	10.0
2rmk	-38.64	0.0	0.0
2ij0	-55.62	45.89	43.12
2p4a	-55.62	30.65	26.72
2jgz	-17.12	36.86	29.33
2p5t	-51.37	91.27	90.17
2v2w	-32.29	20.97	18.46
2p1l	-32.18	60.4	64.37
2oza	-49.1	72.82	72.95
2h62	-31.78	37.74	32.61
2i3t	-31.78	58.18	60.88
2ot8	-43.94	93.53	84.95
2ra3	-61.07	22.66	18.97
2v8s	-26.58	33.63	25.68
2p49	-43.6	14.77	12.71
2j8s	-43.11	42.79	36.55
2v6x	-25.99	19.82	22.06
2yvj	-20.16	40.53	41.91
2hqw	-49.65	35.18	37.82
2iou	-31.16	69.53	74.24
2i3s	-31.07	39.41	33.1
2iyb	-31.07	28.11	28.17
2jix	-42.94	87.55	85.25
2psm	-60.06	35.12	29.87
2j8u	-25.67	47.21	45.98
2iwg	-42.42	70.88	63.89
2z3q	-59.48	14.63	10.94
2z3r	-59.48	11.14	8.1
2vda	-31.52	10.0	10.0
2pop	-30.69	85.17	78.5
2z8w	-47.53	58.31	57.7
2uwe	-30.41	37.66	36.66
2z8v	-47.48	61.23	58.4
2omz	-36.52	11.93	14.67
2ihs	-42.23	46.02	46.43
2jt4	-25.1	0.0	0.0
2ptt	-30.81	20.25	18.49
2j59	-41.44	22.83	22.97
2oob	-24.22	20.23	17.16
2r56	-30.26	27.19	18.0
2v3b	-30.26	29.5	30.83
2qho	-24.1	15.62	14.18
2onl	-46.93	99.77	99.9
2ibf	-46.28	74.28	79.93
2qr0	-46.28	68.52	56.22
2j5l	-40.6	60.81	59.45
2v9t	-46.15	21.29	19.68
2pye	-40.46	19.69	13.98
2uyz	-40.45	12.31	13.26
2px9	-23.16	1.94	2.14
2i26	-45.81	29.94	27.31
3biw	-40.03	132.7	121.04
2v1d	-41.67	85.1	90.57
2o8v	-34.01	55.91	59.34
2uxn	-39.5	75.56	85.26
2g81	-44.9	17.99	14.66
2nz1	-44.2	37.64	33.38
2ijo	-43.49	44.49	40.26
2pw8	-77.64	33.26	32.98
2jod	-36.85	1.33	1.64
2nqd	-59.41	18.42	15.37
2p3f	-59.17	32.85	24.73
2uuy	-47.1	10.17	7.96
3c5t	-54.35	38.13	35.45
2z7f	-46.73	19.81	14.82
2w2n	-40.84	26.99	23.61
3brt	-44.2	42.88	41.54
3brv	-43.54	16.0	14.52
2qur	-37.68	41.35	37.94
3c59	-49.1	54.26	51.61
3ehu	-31.29	29.9	31.2
3bow	-42.78	11.61	13.38
2za4	-56.24	21.02	18.89
2vdb	-56.07	44.66	43.06
3dxc	-38.0	40.74	37.1
2vfx	-37.68	24.73	0.0
2k05	-38.24	37.44	37.85
3dvu	-38.24	66.1	60.45
2roz	-37.07	0.0	0.0
3dxe	-36.99	41.77	37.89
3dxd	-36.92	50.72	46.15
2vlp	-70.01	19.57	17.07
2jti	-35.56	15.86	13.93
2jzn	-18.84	0.75	1.51
1vsq	-18.84	0.75	1.51
2pjy	-35.96	51.77	52.43
3ddc	-34.89	25.77	23.92
2vof	-52.25	31.18	30.99
2vlo	-68.78	21.81	18.6
2z34	-34.54	32.19	27.49
3c4m	-34.3	39.13	39.26
3f5c	-34.51	117.03	99.64
3dbr	-34.2	80.73	71.63
3b2u	-51.37	27.65	26.16
2v51	-34.25	35.53	36.48
2qja	-51.13	77.75	77.33
2voi	-51.13	55.94	53.5
2v4z	-33.69	53.82	53.23
2jjt	-33.79	32.74	27.97
2jjs	-33.79	20.53	20.46
2jki	-33.02	53.37	50.6
3dbh	-32.99	88.16	78.78
2vln	-67.21	14.64	14.21
2v52	-32.66	23.02	23.76
3c8k	-22.78	75.36	74.18
2vwe	-56.76	44.08	39.52
2p45	-39.59	15.23	11.52
2p46	-39.59	31.76	27.83
2p48	-39.59	47.62	40.23
2p47	-39.59	89.59	88.05
3e3q	-39.59	47.95	44.08
3ch5	-22.38	36.45	37.86
3eg5	-33.69	53.16	50.05
3eab	-28.09	53.67	44.9
2ver	-27.87	1.75	1.93
2rms	-39.23	0.0	0.0
2q5d	-44.56	83.52	62.87
2p8q	-44.56	48.09	49.37
2rnr	-38.95	0.0	0.0
2z58	-44.5	23.8	23.08
2k6d	-21.5	37.84	41.6
2otk	-44.35	0.0	0.0
2w2m	-38.29	26.09	21.42
3d5r	-44.07	41.12	39.61
2voh	-51.37	25.18	24.31
3dgc	-51.37	39.93	35.02
3d5o	-34.25	51.45	61.44
3eba	-49.24	28.52	26.07
3e2u	-32.18	73.39	69.74
2qj9	-49.2	88.26	87.27
2k3s	-31.78	0.0	0.0
3eoy	-48.82	62.23	61.81
2oqj	-21.11	69.12	69.29
2p44	-43.94	23.94	20.5
3bpo	-43.94	42.92	43.76
2jy6	-26.82	0.0	0.0
3bn3	-26.82	52.89	49.91
2vog	-38.11	28.82	27.67
2vlq	-60.74	12.17	11.13
3bk3	-43.71	56.3	54.06
2p43	-43.6	17.6	14.96
2p42	-43.6	19.6	15.02
3b9f	-26.37	29.44	19.02
3eo1	-54.81	80.72	70.94
3be1	-43.29	66.55	83.33
3bgf	-43.29	47.01	37.75
3d5s	-43.29	42.57	43.02
3b2v	-48.41	67.22	43.04
3bdy	-37.23	47.53	42.57
3blh	-37.23	75.18	65.28
3ech	-37.23	15.0	14.39
3bky	-42.94	46.41	54.14
3d7u	-25.82	191.03	179.2
3cx8	-36.92	32.32	27.8
2k42	-42.56	0.0	0.0
2vsm	-42.56	14.6	13.07
2k2u	-36.78	0.0	0.0
2efh	-42.49	34.7	26.58
2rgn	-42.49	144.54	145.13
3c66	-31.52	54.75	59.94
3d2u	-47.93	42.02	40.43
3bp8	-47.85	44.24	43.11
3dvm	-47.74	58.11	66.96
3c4p	-47.7	23.66	22.04
3cqx	-30.52	34.03	35.12
3c4o	-47.59	22.03	20.11
3e2h	-30.46	67.8	64.04
3cx6	-30.36	40.74	39.08
2qjb	-47.43	81.85	81.65
2jtt	-30.31	0.0	0.0
2vlr	-30.31	41.98	35.2
3c09	-42.05	51.09	43.98
2vyr	-41.99	28.25	23.81
3ejj	-36.2	67.35	38.6
3bpn	-36.03	45.79	42.73
3cqc	-47.93	77.32	54.26
3cqg	-47.93	79.76	67.62
2k5b	-30.81	10.0	10.0
2ve7	-30.81	65.72	66.52
2vlj	-30.16	47.86	43.51
3beg	-41.67	117.65	113.11
3cx7	-35.87	42.87	42.25
3bpl	-35.69	37.91	26.77
3chw	-41.35	22.39	21.2
2efd	-46.44	74.66	61.78
3c9a	-46.31	22.41	23.06
2vay	-46.25	34.43	35.12
3d7t	-23.71	108.09	85.64
2v5q	-40.8	34.3	31.71
3crk	-29.0	53.2	73.02
3dbl	-28.87	71.15	62.47
3dvg	-46.01	64.15	60.62
2qna	-40.42	31.25	30.86
3bik	-29.09	67.94	63.62
3bs5	-40.15	31.99	31.14
3dvn	-40.16	78.85	75.12
3bh6	-40.08	35.88	32.5
3bx1	-33.6	33.57	29.09
3d1m	-33.6	33.07	31.28
3b4v	-60.06	40.24	32.31
3fju	-50.2	10.4	9.18
2oul	-50.05	22.69	19.47
2ody	-49.91	30.82	30.46
3bg4	-42.6	25.98	24.27
3ixe	-33.9	14.08	10.37
3iol	-37.68	15.8	12.41
2w84	-40.84	0.0	0.0
3a6b	-39.76	18.57	15.63
2vxq	-56.84	28.68	25.79
3da7	-39.3	37.74	32.91
3k2u	-55.91	66.83	57.3
2w9e	-57.08	40.71	39.05
3fp6	-74.2	12.98	8.56
2wjv	-38.24	21.85	23.49
3huj	-38.24	42.72	40.27
3inb	-38.24	159.04	154.33
2kbw	-37.07	0.0	0.0
2khs	-36.78	0.0	0.0
2wel	-37.23	19.95	21.57
3dxa	-37.23	63.93	63.94
2w83	-36.4	31.44	25.27
3g3a	-36.34	25.87	23.04
3d3v	-36.17	63.82	61.01
3gty	-53.24	49.99	58.79
2zvk	-36.52	32.47	28.51
3d39	-35.35	66.56	64.44
2k79	-18.12	1.07	1.19
2k7a	-18.12	1.0	1.0
3idc	-52.64	57.32	52.81
2wp0	-34.43	47.94	38.51
3knb	-34.4	26.38	25.58
3gd1	-34.3	67.4	71.62
3h3g	-34.27	44.85	43.96
3ew3	-50.92	107.93	91.69
2wy2	-16.47	0.0	0.0
3hcu	-33.27	79.3	74.28
3hct	-33.27	40.77	33.57
3kpr	-33.24	36.45	34.91
