PDB_ID	Prot1_Count	Prot2_Count	Prot3_Count	Prot4_Count	Prot5_Count	Prot6_Count	Prot7_Count	Prot8_Count	Prot9_Count	Prot10_Count	Prot11_Count	Prot12_Count	Prot13_Count	Prot14_Count	Prot15_Count	Prot16_Count
1vpp	186	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1b6c	428	1304	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ibr	338	896	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1flt	193	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1uug	443	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1lfd	174	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1kac	185	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1sbb	476	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1bvk	216	232	258	0	0	0	0	0	0	0	0	0	0	0	0	0
1eer	166	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1tba	67	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ay7	96	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1cn4	435	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1qa9	204	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1bj1	426	436	188	0	0	0	0	0	0	0	0	0	0	0	0	0
1grn	191	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1qfu	318	174	217	223	0	0	0	0	0	0	0	0	0	0	0	0
1vrk	148	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1qse	274	100	9	200	243	0	0	0	0	0	0	0	0	0	0	0
4thn	36	253	8	0	0	0	0	0	0	0	0	0	0	0	0	0
1qur	27	257	15	0	0	0	0	0	0	0	0	0	0	0	0	0
1fak	108	251	183	55	0	0	0	0	0	0	0	0	0	0	0	0
1cmx	424	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1es0	182	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1fg9	254	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1cz8	188	426	436	0	0	0	0	0	0	0	0	0	0	0	0	0
1g9i	223	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1d6r	223	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1fsk	636	856	880	0	0	0	0	0	0	0	0	0	0	0	0	0
1ffx	846	820	91	0	0	0	0	0	0	0	0	0	0	0	0	0
1dee	642	669	105	0	0	0	0	0	0	0	0	0	0	0	0	0
1e4k	432	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1qfw	87	111	112	112	108	121	0	0	0	0	0	0	0	0	0	0
1qty	381	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1du3	578	912	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e96	178	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1dqj	214	210	129	0	0	0	0	0	0	0	0	0	0	0	0	0
1ees	178	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1emv	83	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1de4	816	297	1905	0	0	0	0	0	0	0	0	0	0	0	0	0
1e6j	219	210	210	0	0	0	0	0	0	0	0	0	0	0	0	0
1djs	202	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1dzb	448	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1f3v	158	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1g6v	256	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1eo8	319	175	210	217	0	0	0	0	0	0	0	0	0	0	0	0
1efx	278	100	9	394	0	0	0	0	0	0	0	0	0	0	0	0
1clv	470	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ezu	280	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ezs	250	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1dp5	329	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1c9t	1338	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1c9p	222	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1icf	350	84	130	0	0	0	0	0	0	0	0	0	0	0	0	0
1dpj	329	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1fy8	215	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1hqr	178	180	10	206	0	0	0	0	0	0	0	0	0	0	0	0
1i4e	293	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1hez	428	420	61	0	0	0	0	0	0	0	0	0	0	0	0	0
1f34	325	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1i8l	398	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1hxy	180	180	13	212	0	0	0	0	0	0	0	0	0	0	0	0
1g5j	175	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e6e	913	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ffw	256	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1iqd	208	200	156	0	0	0	0	0	0	0	0	0	0	0	0	0
1gcq	113	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1e3u	728	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1i2m	329	778	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1he8	749	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1hcf	242	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1fe8	559	630	633	0	0	0	0	0	0	0	0	0	0	0	0	0
1ewy	606	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ib1	908	712	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1j7v	150	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1i4d	373	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1i5k	159	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1jiw	470	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1fqj	632	274	38	0	0	0	0	0	0	0	0	0	0	0	0	0
1j7d	140	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1g0v	329	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1jtg	523	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1gl1	100	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1gl0	32	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1i3o	287	202	204	0	0	0	0	0	0	0	0	0	0	0	0	0
1eja	223	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1id5	30	256	138	0	0	0	0	0	0	0	0	0	0	0	0	0
1f7z	213	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3tgk	217	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1jtd	262	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1f5r	216	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1gpw	757	603	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1jmo	47	259	425	0	0	0	0	0	0	0	0	0	0	0	0	0
1jps	213	213	200	0	0	0	0	0	0	0	0	0	0	0	0	0
1lm8	106	88	150	14	0	0	0	0	0	0	0	0	0	0	0	0
1lzw	91	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1l2w	949	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1i51	278	184	36	0	0	0	0	0	0	0	0	0	0	0	0	0
1go4	779	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1jwh	671	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1l4z	248	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1l4d	249	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1kxp	349	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1mxe	288	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1k5d	824	584	1376	0	0	0	0	0	0	0	0	0	0	0	0	0
1k93	1455	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ktk	809	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1i8k	106	119	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1kxt	1488	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ijk	199	133	119	0	0	0	0	0	0	0	0	0	0	0	0	0
1kgy	724	552	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1kxv	992	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1lj2	216	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ktz	82	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1lw6	281	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1kxq	1984	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1lqb	104	88	150	17	0	0	0	0	0	0	0	0	0	0	0	0
1kbh	47	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1h59	54	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1gng	705	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1kkl	501	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1eaw	482	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1lqs	413	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1gxd	1247	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1m10	199	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1jsp	19	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1l0x	472	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1l8c	95	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1m1e	512	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1l0y	472	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1k2d	182	185	12	0	0	0	0	0	0	0	0	0	0	0	0	0
1ob1	430	438	193	0	0	0	0	0	0	0	0	0	0	0	0	0
1jgn	98	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ogy	6320	1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1op9	121	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1p27	288	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1p9m	298	163	201	0	0	0	0	0	0	0	0	0	0	0	0	0
1lx5	104	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1p3q	77	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1n64	220	218	16	0	0	0	0	0	0	0	0	0	0	0	0	0
1j2j	165	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1jh4	98	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1mzw	173	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1oqe	1440	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1nys	183	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1nyu	175	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1mi5	277	99	9	201	241	0	0	0	0	0	0	0	0	0	0	0
1p9d	32	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1uad	346	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1otr	49	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1pjm	20	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1mhh	438	429	125	0	0	0	0	0	0	0	0	0	0	0	0	0
1o9a	93	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1m5n	485	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1psb	182	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1pjn	21	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1h1v	368	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1q0w	24	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1r0r	274	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1uex	125	123	202	0	0	0	0	0	0	0	0	0	0	0	0	0
1lp1	55	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1p4l	273	99	8	122	0	0	0	0	0	0	0	0	0	0	0	0
1ozs	73	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1mq8	368	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1q68	38	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1p22	402	131	9	0	0	0	0	0	0	0	0	0	0	0	0	0
1oey	301	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1o95	1458	469	378	0	0	0	0	0	0	0	0	0	0	0	0	0
1h0t	58	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1pvh	402	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1p1z	255	97	8	118	0	0	0	0	0	0	0	0	0	0	0	0
1q69	19	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1nez	274	99	242	0	0	0	0	0	0	0	0	0	0	0	0	0
1oc0	364	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1nvu	332	469	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1nf3	388	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1oph	375	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1o94	1458	469	378	0	0	0	0	0	0	0	0	0	0	0	0	0
1nw9	91	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1pxv	366	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1p0s	88	235	139	0	0	0	0	0	0	0	0	0	0	0	0	0
1nb5	880	32	392	0	0	0	0	0	0	0	0	0	0	0	0	0
1mcv	240	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1oyv	548	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1rpq	662	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1xxf	474	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1rv6	189	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1xx9	470	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1xu1	411	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1xxd	476	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1v7p	134	127	193	0	0	0	0	0	0	0	0	0	0	0	0	0
1ry7	151	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1u0s	118	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1xqh	500	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1pd7	85	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1xd3	456	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1t6b	676	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1nl0	213	216	33	0	0	0	0	0	0	0	0	0	0	0	0	0
1tzh	188	420	439	0	0	0	0	0	0	0	0	0	0	0	0	0
1us7	207	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1tzi	214	222	97	0	0	0	0	0	0	0	0	0	0	0	0	0
1xr0	22	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1sv0	156	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1vet	122	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1veu	118	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1q5w	31	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1tdq	271	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1r8u	50	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1syq	259	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1w72	548	200	18	420	446	0	0	0	0	0	0	0	0	0	0	0
1sb0	87	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1tzn	7728	2534	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1sg1	201	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1t44	144	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1th1	1027	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1sy6	213	219	168	0	0	0	0	0	0	0	0	0	0	0	0	0
1xt9	208	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1vyt	569	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1w1w	1255	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1u7v	390	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1usu	246	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1usv	997	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1uel	95	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1tlh	89	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1sq0	198	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1p6a	185	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1rkc	258	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1t01	255	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1p4b	110	112	12	0	0	0	0	0	0	0	0	0	0	0	0	0
1oyh	416	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1rvj	281	301	238	0	0	0	0	0	0	0	0	0	0	0	0	0
1rke	262	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1u7f	390	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1vg0	481	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ty4	312	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1s4y	186	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1u0i	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1p69	185	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1shy	228	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1p2c	423	421	258	0	0	0	0	0	0	0	0	0	0	0	0	0
1s1q	272	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1nm5	718	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1tm7	281	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1tm1	281	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1tm5	281	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1tm3	281	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1tm4	281	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1to1	281	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1tt5	1034	809	23	0	0	0	0	0	0	0	0	0	0	0	0	0
1uuz	259	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1te1	274	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ta3	274	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1zjd	237	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1yc0	247	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2ass	143	325	69	0	0	0	0	0	0	0	0	0	0	0	0	0
1vyh	3100	2180	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1z7x	252	920	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1zhi	195	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1r6q	284	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1wlp	25	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1zm4	2466	621	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1y8n	374	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2c1m	424	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ze3	205	122	116	0	0	0	0	0	0	0	0	0	0	0	0	0
1uwx	424	436	118	26	0	0	0	0	0	0	0	0	0	0	0	0
1ydi	256	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2b4j	280	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2b0z	294	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1v18	508	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1z92	121	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2ajf	1194	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2b5i	120	196	191	122	0	0	0	0	0	0	0	0	0	0	0	0
2b10	588	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1wa8	99	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1x1y	326	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2a7u	22	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2aep	388	143	129	0	0	0	0	0	0	0	0	0	0	0	0	0
2aeq	388	107	116	0	0	0	0	0	0	0	0	0	0	0	0	0
1x1u	329	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2bnr	276	100	9	203	241	0	0	0	0	0	0	0	0	0	0	0
1wdw	1450	2310	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1wr1	76	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1t63	250	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1x75	257	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1y6m	142	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1yd8	146	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1y6k	145	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1yru	351	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2bp7	1628	1352	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2c1t	846	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1yy9	613	211	220	0	0	0	0	0	0	0	0	0	0	0	0	0
2byk	181	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2bym	169	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2be6	418	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ri8	124	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2b12	294	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2bqz	322	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1wr6	350	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2aw2	217	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
