PDB_ID	ΔG_kJ/mol	Avg_Bfactor_Total	Avg_Bfactor_Interface	complex_count
2bo9	-48.65	16.03	14.55	1048
2hev	-42.86	42.47	38.85	266
2gng	-31.52	37.16	32.6	358
2gww	-56.84	80.57	77.04	281
1zvy	-57.08	17.81	13.07	254
2cjs	-39.95	29.75	23.63	373
2f6a	-38.24	63.65	51.61	1331
2dx5	-19.87	19.92	14.36	172
2b7c	-36.52	25.6	26.58	527
2f5z	-51.99	41.38	47.59	4930
2fu5	-52.25	44.34	30.86	517
2ixq	-35.13	0.0	0.0	285
1yk0	-51.47	54.2	62.66	809
2f9z	-34.51	47.02	44.79	691
2b42	-51.2	39.3	31.94	548
2j1k	-51.13	34.02	33.45	3623
2g2u	-33.69	22.54	24.05	430
2i32	-33.6	53.06	46.37	345
2d10	-50.05	38.42	56.44	1266
2b87	-39.95	0.0	0.0	116
2f31	-39.9	34.64	34.89	248
2hth	-22.71	59.68	57.68	202
2c0l	-39.74	36.02	29.87	414
1zv5	-45.66	35.58	27.44	248
2aq2	-45.43	28.66	23.83	344
2fdb	-38.87	22.01	15.38	685
2ftm	-61.62	16.99	11.95	281
2den	-27.22	6.11	5.9	122
1yrt	-51.37	27.32	24.63	420
2g45	-31.68	40.93	32.77	386
2fyl	-31.69	2.82	3.39	163
2hd5	-31.69	22.61	17.97	391
2j12	-43.94	13.95	13.27	302
2hwn	-49.65	38.39	36.94	206
2few	-13.88	0.16	0.51	240
2fuh	-20.11	0.0	0.0	222
2a24	-25.82	0.42	0.68	215
2dsp	-31.52	42.18	40.89	148
2hle	-42.23	56.81	52.54	321
2djy	-25.1	0.0	0.0	62
2h4m	-42.1	73.72	66.93	1687
2arp	-36.34	40.49	33.84	253
1yk1	-41.89	72.62	94.4	809
2fju	-30.11	32.48	34.58	873
2aq1	-47.14	45.18	33.08	1380
2g2w	-35.59	22.47	22.27	429
2es4	-47.38	34.41	30.24	1176
2c7m	-29.64	66.79	64.46	132
2c7n	-29.64	44.84	43.45	765
2hsq	-46.69	157.51	157.85	284
2ftl	-75.47	15.19	9.65	280
2f4m	-41.02	47.91	45.75	356
2aq3	-29.22	45.42	33.24	1376
1zvh	-40.84	17.5	11.26	251
2iy1	-34.84	59.4	57.5	618
2bwe	-23.38	82.88	80.79	1047
2a9h	-34.51	85.45	51.29	424
2gh0	-40.22	37.36	36.48	598
1zgu	-22.88	20.51	18.33	215
2hrk	-45.92	34.51	29.96	298
2j7p	-45.66	29.3	25.58	1107
2j0t	-53.64	44.88	43.74	854
2abz	-48.82	32.48	28.65	826
2o3b	-65.61	46.62	42.49	376
1yvb	-46.73	52.13	41.82	352
2j8x	-46.21	24.1	25.38	623
2omy	-38.24	10.87	10.66	566
2qxv	-36.64	16.9	18.93	381
2oin	-35.92	42.93	35.87	369
2odg	-35.55	0.22	0.75	225
2omu	-52.64	13.13	13.19	567
2o98	-51.77	50.7	49.46	573
2gox	-51.92	43.34	49.2	724
2i9b	-51.47	68.48	67.56	1514
2ifg	-51.63	93.74	44.85	911
2nyz	-51.63	59.9	62.95	869
2pkg	-34.1	72.91	61.18	1318
2i25	-51.37	38.49	36.13	489
2qej	-51.13	32.72	25.21	803
2omv	-50.92	18.02	18.15	564
2pon	-33.41	0.0	0.0	179
2ot3	-32.79	29.82	21.11	410
2pms	-45.59	31.72	29.48	880
2ju0	-39.95	0.0	0.0	227
2omt	-39.95	17.65	15.85	567
2q7n	-62.78	102.52	99.32	1320
2qc1	-62.78	30.94	18.76	286
2omw	-28.54	16.0	18.25	566
2qiy	-39.52	28.69	29.93	317
2omx	-39.5	12.29	14.91	569
2noj	-45.01	48.65	34.08	1344
2rf9	-27.89	68.32	64.56	602
2q0o	-44.67	39.45	40.84	643
2r9p	-27.7	22.62	17.65	1128
2oor	-44.58	57.78	42.75	915
2phe	-27.53	10.0	10.0	158
2rmk	-38.64	0.0	0.0	273
2ij0	-55.62	45.89	43.12	621
2p4a	-55.62	30.65	26.72	490
2jgz	-17.12	36.86	29.33	548
2p1l	-32.18	60.4	64.37	660
2oza	-49.1	72.82	72.95	672
2i3t	-31.78	58.18	60.88	1484
2ot8	-43.94	93.53	84.95	1674
2ra3	-61.07	22.66	18.97	562
2v8s	-26.58	33.63	25.68	230
2p49	-43.6	14.77	12.71	242
2j8s	-43.11	42.79	36.55	3426
2v6x	-25.99	19.82	22.06	119
2yvj	-20.16	40.53	41.91	909
2hqw	-49.65	35.18	37.82	160
2iou	-31.16	69.53	74.24	3272
2i3s	-31.07	39.41	33.1	1102
2iyb	-31.07	28.11	28.17	705
2psm	-60.06	35.12	29.87	371
2iwg	-42.42	70.88	63.89	776
2z3q	-59.48	14.63	10.94	389
2z3r	-59.48	11.14	8.1	1534
2vda	-31.52	10.0	10.0	856
2pop	-30.69	85.17	78.5	810
2z8w	-47.53	58.31	57.7	902
2z8v	-47.48	61.23	58.4	902
2omz	-36.52	11.93	14.67	571
2ihs	-42.23	46.02	46.43	433
2jt4	-25.1	0.0	0.0	147
2ptt	-30.81	20.25	18.49	211
2j59	-41.44	22.83	22.97	1669
2oob	-24.22	20.23	17.16	116
2v3b	-30.26	29.5	30.83	434
2qho	-24.1	15.62	14.18	488
2onl	-46.93	99.77	99.9	1307
2ibf	-46.28	74.28	79.93	302
2v9t	-46.15	21.29	19.68	317
2uyz	-40.45	12.31	13.26	234
2px9	-23.16	1.94	2.14	375
2i26	-45.81	29.94	27.31	736
3biw	-40.03	132.7	121.04	2840
2o8v	-34.01	55.91	59.34	337
2g81	-44.9	17.99	14.66	279
2nz1	-44.2	37.64	33.38	1305
2jod	-36.85	1.33	1.64	139
2nqd	-59.41	18.42	15.37	330
2uuy	-47.1	10.17	7.96	275
3c5t	-54.35	38.13	35.45	129
2z7f	-46.73	19.81	14.82	268
3brt	-44.2	42.88	41.54	205
3brv	-43.54	16.0	14.52	204
2qur	-37.68	41.35	37.94	358
3c59	-49.1	54.26	51.61	128
3ehu	-31.29	29.9	31.2	914
2za4	-56.24	21.02	18.89	390
2vdb	-56.07	44.66	43.06	629
3dxc	-38.0	40.74	37.1	307
2k05	-38.24	37.44	37.85	206
3dvu	-38.24	66.1	60.45	309
2roz	-37.07	0.0	0.0	168
3dxe	-36.99	41.77	37.89	308
3dxd	-36.92	50.72	46.15	307
2vlp	-70.01	19.57	17.07	216
2jti	-35.56	15.86	13.93	397
2jzn	-18.84	0.75	1.51	431
1vsq	-18.84	0.75	1.51	429
3ddc	-34.89	25.77	23.92	299
2vof	-52.25	31.18	30.99	332
2vlo	-68.78	21.81	18.6	222
2z34	-34.54	32.19	27.49	347
3c4m	-34.3	39.13	39.26	978
3f5c	-34.51	117.03	99.64	607
2v51	-34.25	35.53	36.48	759
2qja	-51.13	77.75	77.33	386
2voi	-51.13	55.94	53.5	174
2v4z	-33.69	53.82	53.23	438
2jjt	-33.79	32.74	27.97	455
2jjs	-33.79	20.53	20.46	465
2jki	-33.02	53.37	50.6	921
2vln	-67.21	14.64	14.21	214
2v52	-32.66	23.02	23.76	390
2p45	-39.59	15.23	11.52	240
2p46	-39.59	31.76	27.83	472
2p48	-39.59	47.62	40.23	240
2p47	-39.59	89.59	88.05	239
3ch5	-22.38	36.45	37.86	230
3eg5	-33.69	53.16	50.05	1030
3eab	-28.09	53.67	44.9	759
2ver	-27.87	1.75	1.93	253
2rms	-39.23	0.0	0.0	132
2q5d	-44.56	83.52	62.87	1775
2p8q	-44.56	48.09	49.37	912
2rnr	-38.95	0.0	0.0	170
2z58	-44.5	23.8	23.08	384
2k6d	-21.5	37.84	41.6	138
2otk	-44.35	0.0	0.0	111
3d5r	-44.07	41.12	39.61	724
2voh	-51.37	25.18	24.31	179
3dgc	-51.37	39.93	35.02	691
3d5o	-34.25	51.45	61.44	1191
3eba	-49.24	28.52	26.07	252
3e2u	-32.18	73.39	69.74	383
2qj9	-49.2	88.26	87.27	386
2k3s	-31.78	0.0	0.0	186
3eoy	-48.82	62.23	61.81	1577
2p44	-43.94	23.94	20.5	237
2jy6	-26.82	0.0	0.0	128
3bn3	-26.82	52.89	49.91	376
2vog	-38.11	28.82	27.67	167
2vlq	-60.74	12.17	11.13	218
3bk3	-43.71	56.3	54.06	342
2p43	-43.6	17.6	14.96	244
2p42	-43.6	19.6	15.02	484
3d5s	-43.29	42.57	43.02	724
3blh	-37.23	75.18	65.28	546
3ech	-37.23	15.0	14.39	288
3d7u	-25.82	191.03	179.2	1020
3cx8	-36.92	32.32	27.8	512
2k42	-42.56	0.0	0.0	108
2vsm	-42.56	14.6	13.07	550
2k2u	-36.78	0.0	0.0	150
2efh	-42.49	34.7	26.58	796
3c66	-31.52	54.75	59.94	1105
3bp8	-47.85	44.24	43.11	911
3dvm	-47.74	58.11	66.96	162
3c4p	-47.7	23.66	22.04	430
3cqx	-30.52	34.03	35.12	918
3c4o	-47.59	22.03	20.11	430
3cx6	-30.36	40.74	39.08	505
2qjb	-47.43	81.85	81.65	382
2jtt	-30.31	0.0	0.0	242
2vyr	-41.99	28.25	23.81	1336
3ejj	-36.2	67.35	38.6	565
3cqc	-47.93	77.32	54.26	433
3cqg	-47.93	79.76	67.62	409
2k5b	-30.81	10.0	10.0	339
2ve7	-30.81	65.72	66.52	1010
3beg	-41.67	117.65	113.11	434
3cx7	-35.87	42.87	42.25	512
2efd	-46.44	74.66	61.78	796
3c9a	-46.31	22.41	23.06	511
2vay	-46.25	34.43	35.12	167
3d7t	-23.71	108.09	85.64	514
2v5q	-40.8	34.3	31.71	829
3crk	-29.0	53.2	73.02	903
2qna	-40.42	31.25	30.86	774
3bik	-29.09	67.94	63.62	446
3bs5	-40.15	31.99	31.14	157
3bh6	-40.08	35.88	32.5	475
3bx1	-33.6	33.57	29.09	900
3d1m	-33.6	33.07	31.28	484
3b4v	-60.06	40.24	32.31	1280
3fju	-50.2	10.4	9.18	372
2oul	-50.05	22.69	19.47	348
3ixe	-33.9	14.08	10.37	241
3iol	-37.68	15.8	12.41	126
2w84	-40.84	0.0	0.0	77
3da7	-39.3	37.74	32.91	774
3fp6	-74.2	12.98	8.56	281
2wjv	-38.24	21.85	23.49	1654
3inb	-38.24	159.04	154.33	1044
2kbw	-37.07	0.0	0.0	191
2khs	-36.78	0.0	0.0	156
2wel	-37.23	19.95	21.57	449
2w83	-36.4	31.44	25.27	613
3g3a	-36.34	25.87	23.04	1168
3gty	-53.24	49.99	58.79	561
2zvk	-36.52	32.47	28.51	777
2k79	-18.12	1.07	1.19	171
2k7a	-18.12	1.0	1.0	171
3idc	-52.64	57.32	52.81	501
2wp0	-34.43	47.94	38.51	532
3knb	-34.4	26.38	25.58	194
3h3g	-34.27	44.85	43.96	493
3ew3	-50.92	107.93	91.69	569
2wy2	-16.47	0.0	0.0	412
3hcu	-33.27	79.3	74.28	509
3hct	-33.27	40.77	33.57	252
2zvo	-33.08	50.61	38.75	471
2zvn	-33.08	77.64	63.68	931
2k8c	-15.67	1.35	1.47	156
2k8b	-15.67	1.44	1.43	156
3htu	-32.79	32.05	23.23	439
2wo2	-28.35	49.88	39.29	314
3k8p	-45.66	61.29	53.49	869
3idb	-45.36	23.81	20.13	492
3eiq	-39.72	55.84	52.75	1013
3ifq	-39.59	91.77	93.18	1258
2knb	-28.3	0.67	1.0	138
3hh2	-45.15	24.86	19.39	771
3h2u	-27.97	64.03	53.47	915
3f1p	-22.38	18.52	20.72	225
3gni	-45.21	28.59	27.48	639
3ff8	-22.18	32.09	23.8	425
2wqz	-39.27	72.52	71.26	1443
3hpw	-27.89	13.17	13.29	235
2w19	-39.12	29.98	31.13	983
2wfx	-44.83	74.54	73.34	570
3hg0	-44.5	50.04	39.07	523
3di2	-27.08	45.14	38.57	616
3g9v	-68.49	39.42	33.46	613
3kv4	-34.25	25.68	21.47	444
3gc3	-32.41	24.3	23.57	678
2wo3	-32.18	43.67	40.72	318
2k8f	-31.78	0.0	0.0	129
2kc8	-38.24	0.0	0.0	128
3ff7	-21.11	28.15	23.43	419
3gxu	-38.2	20.57	17.52	309
3doe	-43.94	37.88	36.79	303
3g7z	-61.07	25.75	26.22	269
3fhc	-43.75	42.37	45.75	605
3di3	-43.82	81.89	71.78	311
3h8k	-43.82	33.48	30.74	192
3h2v	-26.57	55.74	54.94	977
3ho5	-38.0	96.76	88.4	1051
3jvf	-37.3	110.29	101.89	478
3etb	-60.15	13.5	11.76	1489
3gqi	-42.7	80.48	78.12	530
3g3b	-42.63	44.87	42.08	1065
3g9w	-25.36	32.08	34.98	500
3gj8	-31.52	35.65	33.94	461
2zxx	-47.7	57.35	52.75	644
3it8	-59.17	74.16	59.22	2706
3gj5	-24.7	43.27	44.92	454
3f7p	-24.6	82.53	93.15	1069
3gj3	-24.6	35.32	32.5	229
2w81	-47.93	42.43	38.99	1083
2w80	-47.93	40.48	39.06	1467
3gj7	-30.81	54.97	54.01	457
3kls	-47.14	156.44	173.35	3482
2ka6	-41.57	0.0	0.0	137
2k2s	-41.53	0.86	0.91	191
2ka4	-41.3	6.0	6.0	157
3ejh	-30.26	52.53	44.88	210
3gb8	-29.61	44.54	22.19	1227
3gj6	-29.61	88.25	142.16	229
3gj4	-29.57	50.99	51.74	453
2kj4	-41.02	0.0	0.0	119
2wg3	-40.71	19.99	20.14	1120
2wg4	-40.7	66.52	60.99	566
2wwx	-40.54	13.53	10.53	370
2k3u	-46.09	12.51	12.87	111
2kde	-28.83	7.9	9.03	263
2wx0	-29.09	43.89	32.2	351
3ia3	-40.13	83.08	74.33	450
3bzd	-22.93	18.22	14.75	343
2kgx	-28.8	10.0	10.0	265
3gmw	-58.8	26.12	24.19	832
3fxd	-43.94	30.95	34.19	214
3fsh	-47.38	62.82	52.6	355
3h8d	-40.51	31.95	27.93	614
3e1z	-59.61	25.97	24.09	321
3h6s	-57.63	31.83	25.1	1480
3fii	-49.78	39.3	44.45	429
3fie	-51.37	22.38	26.61	875
3k9m	-49.65	42.44	43.32	704
3e2l	-58.0	29.51	25.14	839
3e2k	-58.0	35.02	32.45	843
3g7a	-45.92	37.74	37.17	66
3f50	-45.92	83.53	80.06	60
3n00	-39.72	49.47	46.33	205
3mc0	-39.4	36.6	29.94	673
3fpu	-56.62	31.86	28.54	166
3laq	-55.76	33.82	32.56	767
2wpt	-39.95	26.11	19.45	195
3ogo	-54.19	34.88	35.37	1369
3l9j	-54.04	28.26	24.29	279
3mca	-36.58	67.74	53.66	718
3kuc	-36.27	26.21	21.46	243
3o6q	-53.29	62.11	63.64	368
2kwj	-35.96	0.0	0.0	133
2wp3	-34.82	15.55	15.46	196
2wwk	-33.63	8.76	9.13	198
3oky	-33.6	50.27	42.04	1149
3ma2	-33.19	24.81	21.68	575
3kud	-32.93	39.46	38.74	241
3m0a	-32.93	82.86	61.34	260
3osl	-49.91	37.68	33.34	740
3k75	-39.72	51.86	41.02	791
3kz1	-39.72	71.51	65.45	1075
2xb6	-39.61	24.38	25.59	1424
2kxh	-27.7	0.0	0.0	230
3k6g	-44.42	31.0	26.88	371
3oak	-38.65	62.61	64.94	362
2x1w	-44.5	69.81	65.84	1154
2x1x	-44.5	53.83	56.34	304
2l0f	-21.49	0.0	0.0	121
3m63	-38.57	42.9	43.5	1025
3m18	-55.62	29.21	24.86	372
