PDB,Binding_affinity,rmsd,methods,Ics_total,Ics_charg-charg,Ics_charg-polar,Ics_charg-apolar,Ics_polar-polar,Ics_polar-apolar,Ics_apolar-apolar,hydrophil-hydrophil,hydrophil-hydrophob,hydrophob-hydrophob,NISapol,NISpol,NISchar,BSAtotal,BSAapolar,BSApoalr
1PPE.pdb,15.6,0.34,spectro-scopy,88,5,10,28,0,20,25,40,40,8,34.88,47.09,18.02,1687.8,1003.9,684
1PVH.pdb,9.5,0.34,ITC,57,5,8,8,4,21,11,26,24,7,35,38,27,1402.7,852.8,549.9
1QA9.pdb,7.2,0.73,SPR,50,21,10,14,0,2,3,40,10,0,26.25,35,38.75,1352.6,583.2,769.4
1R0R.pdb,14.2,0.45,spectro-scopy,81,1,14,8,6,21,31,39,33,9,37.14,46.66,16.19,1423.2,923.1,500
1S1Q.pdb,4.3,0.98,SPR,54,1,4,11,6,16,16,18,30,6,35.67,35.67,28.65,1287.7,730.8,556.9
1US7.pdb,8.1,1.06,ITC,42,6,6,10,1,5,14,14,16,12,33.76,27.59,38.63,1106.9,644.9,462
1VFB.pdb,11.5,1.02,ITC,74,5,12,23,3,15,16,61,13,0,31.88,45.66,22.44,1399.9,754.2,645.7
1WEJ.pdb,12.5,0.31,spectro-scopy,51,10,9,18,2,4,8,42,9,0,34.46,41.26,24.27,1177.5,597.6,579.7
1XQS.pdb,7.1,1.77,SPR,91,24,18,24,7,15,3,57,33,1,35.29,29.73,34.96,2350.4,1041.3,1309.1
1XU1.pdb,11.2,1.3,SPR,70,8,12,21,3,10,16,31,30,9,39.18,31.75,29.05,1700.1,947.7,752.4
1Z0K.pdb,7,0.53,SPR,76,5,7,14,2,21,27,32,33,11,30.43,34.78,34.78,1787.2,1047.6,739.6
1ZHI.pdb,9.1,0.68,ITC,53,5,4,18,2,12,12,28,21,4,38.72,27.81,33.45,1321.5,757.3,564.2
2A9K.pdb,10.2,0.85,ITC,85,4,15,23,6,23,14,46,36,3,31.95,30.07,37.96,1750.5,1003.2,747.2
2ABZ.pdb,11.7,0.9,spectro-scopy,71,4,2,18,4,18,25,37,28,6,34.61,44.01,21.36,1447.3,928.6,518.7
2AJF.pdb,10.6,0.65,SPR,61,1,8,18,5,19,10,51,8,2,35.96,37.71,26.31,1704.4,1057.2,647.2
2AQ3.pdb,6.7,1.82,ITC,44,2,7,7,6,7,15,27,15,2,30.67,39.44,29.88,1105.3,612.8,492.5
2C0L.pdb,9.8,2.62,ITC,87,9,9,13,3,25,28,33,40,14,40.34,27.93,31.72,2013.8,1308.7,704.9
2FJU.pdb,7.2,1.04,SPR,40,3,4,6,3,6,18,14,16,10,39.27,28.96,31.75,1245.2,809.9,435.2
2GOX.pdb,12.1,0.6,SPR,64,13,6,17,3,19,6,22,37,5,29.5,29.5,40.98,1667.4,930.6,736.8
2HQS.pdb,10.2,1.14,ITC,109,10,21,37,5,17,19,70,34,5,43.61,33.51,22.87,2333.1,1437.8,895.3
2HRK.pdb,11,2.03,SPR,56,8,11,14,1,9,13,25,24,7,40.25,32.46,27.27,1594.8,1109.3,485.6
2I25.pdb,12.3,1.21,SPR,65,7,8,17,2,18,13,43,22,0,31.84,39.1,29.05,1424.6,698.3,726.2
2MTA.pdb,7.4,0.41,spectro-scopy,64,3,3,21,2,11,24,27,30,7,45.75,24.52,29.71,1461.4,1084.6,376.8
2NYZ.pdb,12.7,2.09,SPR,84,6,10,18,5,25,20,37,37,10,36.41,38.5,25.08,2156.6,1356.9,799.8
2OOB.pdb,5.7,0.85,ITC,36,3,3,13,0,2,15,8,18,10,34.78,27.17,38.04,808,599.6,208.5
2PCB.pdb,6.8,0.45,ITC,33,11,4,7,3,7,1,24,9,0,35.57,30.76,33.65,1029.7,562.5,467.4
2PCC.pdb,7.9,0.39,ITC,39,8,6,5,2,10,8,24,10,5,34.7,32.8,32.49,1140.8,620.6,520.3
2TGP.pdb,7.5,0.57,Spectro-scopy,77,4,9,28,1,14,21,38,32,7,38.64,42.99,18.35,1432.8,878.3,554.4
2VIR.pdb,12.3,0.8,SPR,59,0,5,8,9,25,12,42,14,3,38.02,43.15,18.82,1263.4,679.6,584
2VIS.pdb,7.4,0.8,SPR,59,0,5,8,7,23,16,38,16,5,38.04,43.59,18.35,1296.3,725,571.4
2WPT.pdb,10.7,1.61,stopped-flow,74,8,14,12,2,28,10,46,27,1,27.21,23.12,49.65,1581.9,872.4,709.4
3BZD.pdb,9.6,1.08,ITC,51,4,7,6,7,15,12,33,16,2,29.48,41.03,29.48,1312.3,769.4,542.9
3CPH.pdb,8.8,2.12,ITC,63,6,7,14,2,15,19,29,25,9,35.73,28.77,35.49,1685.4,981.7,703.7
3SGB.pdb,14.5,0.36,spectro-scopy,63,3,5,14,2,20,19,35,25,3,36.04,49.41,14.53,1268.7,847.3,421.5
4CPA.pdb,11.3,1.52,spectro-scopy,53,0,3,16,5,10,19,26,22,5,31.83,47.98,20.17,1178,750.1,427.9
